keyword,popular_status,popular_evidence,smart_status,smart_evidence,check_status,error,url,checked_at_utc,attempts
아이오닉6,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%95%84%EC%9D%B4%EC%98%A4%EB%8B%896,2026-07-21T16:29:34+00:00,1
BMW5시리즈,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=BMW5%EC%8B%9C%EB%A6%AC%EC%A6%88,2026-07-21T16:29:39+00:00,1
파일럿,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%8C%8C%EC%9D%BC%EB%9F%BF,2026-07-21T16:29:43+00:00,1
벤틀리가격,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%B2%A4%ED%8B%80%EB%A6%AC%EA%B0%80%EA%B2%A9,2026-07-21T16:29:48+00:00,1
K8가격,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=K8%EA%B0%80%EA%B2%A9,2026-07-21T16:29:52+00:00,1
하이브리드SUV,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%95%98%EC%9D%B4%EB%B8%8C%EB%A6%AC%EB%93%9CSUV,2026-07-21T16:29:57+00:00,1
싼타페MX5하이브리드,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%8B%BC%ED%83%80%ED%8E%98MX5%ED%95%98%EC%9D%B4%EB%B8%8C%EB%A6%AC%EB%93%9C,2026-07-21T16:30:02+00:00,1
지프컴패스,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%A7%80%ED%94%84%EC%BB%B4%ED%8C%A8%EC%8A%A4,2026-07-21T16:30:06+00:00,1
아반테가격표,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%95%84%EB%B0%98%ED%85%8C%EA%B0%80%EA%B2%A9%ED%91%9C,2026-07-21T16:30:11+00:00,1
쉐보레픽업트럭,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%89%90%EB%B3%B4%EB%A0%88%ED%94%BD%EC%97%85%ED%8A%B8%EB%9F%AD,2026-07-21T16:30:15+00:00,1
