keyword,popular_status,popular_evidence,smart_status,smart_evidence,check_status,error,url,checked_at_utc,attempts
BMW7시리즈,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=BMW7%EC%8B%9C%EB%A6%AC%EC%A6%88,2026-07-21T16:29:05+00:00,1
소나타,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%86%8C%EB%82%98%ED%83%80,2026-07-21T16:29:10+00:00,1
EX30,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=EX30,2026-07-21T16:29:15+00:00,1
쉐보레말리부,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EC%89%90%EB%B3%B4%EB%A0%88%EB%A7%90%EB%A6%AC%EB%B6%80,2026-07-21T16:29:19+00:00,1
롤스로이스고스트,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%A1%A4%EC%8A%A4%EB%A1%9C%EC%9D%B4%EC%8A%A4%EA%B3%A0%EC%8A%A4%ED%8A%B8,2026-07-21T16:29:24+00:00,1
Q8,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=Q8,2026-07-21T16:29:28+00:00,1
기아K8하이브리드,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EA%B8%B0%EC%95%84K8%ED%95%98%EC%9D%B4%EB%B8%8C%EB%A6%AC%EB%93%9C,2026-07-21T16:29:32+00:00,1
CLA45AMG,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=CLA45AMG,2026-07-21T16:29:37+00:00,1
투싼가격,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%88%AC%EC%8B%BC%EA%B0%80%EA%B2%A9,2026-07-21T16:29:41+00:00,1
포르쉐중고,없음,,없음,,확인완료,,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%ED%8F%AC%EB%A5%B4%EC%89%90%EC%A4%91%EA%B3%A0,2026-07-21T16:29:46+00:00,1
